110 46.984631 17.101007 0.000102 0.000281 
111 43.301270 25.000000 0.000149 0.000259 
112 38.302223 32.139381 0.000192 0.000229 
113 32.139381 38.302223 0.000229 0.000192 
114 25.000000 43.301270 0.000259 0.000149 
115 17.101007 46.984631 0.000281 0.000102 
116 8.682409 49.240387 0.000294 0.000052 
117 0.000000 50.000000 0.000299 0.000000 
118 -8.682409 49.240387 0.000294 -0.000052 
119 -17.101007 46.984631 0.000281 -0.000102 
